model,slice,acc,mse,time
LR,1W,0.94,0.062,0.79
RF,1W,0.98,0.023,4.06
SVM,1W,0.94,0.062,1.65
MLP,1W,0.94,0.059,40.15
LR,2W,0.94,0.062,0.79
RF,2W,0.97,0.025,2.48
SVM,2W,0.94,0.061,1.54
MLP,2W,0.94,0.059,40.66
LR,3W,0.94,0.062,0.77
RF,3W,0.97,0.035,2.54
SVM,3W,0.94,0.061,1.43
MLP,3W,0.94,0.059,42.32
LR,4W,0.94,0.062,0.77
RF,4W,0.97,0.029,2.45
SVM,4W,0.94,0.063,1.42
MLP,4W,0.94,0.059,42.00
LR,5W,0.94,0.063,0.88
RF,5W,0.96,0.039,2.57
SVM,5W,0.94,0.063,1.39
MLP,5W,0.94,0.063,43.98
LR,6W,0.94,0.063,0.91
RF,6W,0.96,0.038,2.40
SVM,6W,0.94,0.063,1.44
MLP,6W,0.94,0.063,49.84
