"","client","i_2014_1","i_2014_2","i_2014_3","i_2014_4","i_2014_5","i_2014_6","i_2014_7","i_2014_8","i_2014_9","i_2014_10","i_2014_11","i_2014_12","i_2015_1","i_2015_2","i_2015_3","i_2015_4","i_2015_5","i_2015_6","i_2015_7","i_2015_8","i_2015_9","i_2015_10","i_2015_11","i_2015_12","i_2016_1","i_2016_2","i_2016_3","i_2016_4","i_2016_5","i_2016_6","i_2016_7","i_2016_8","i_2016_9","i_2016_10","i_2016_11","i_2016_12","i_2017_1","i_2017_2","i_2017_3","i_2017_4","activo"
"1",1014928,NA,461,8,-513,-1078,-1593,-2295,-2731,-3139,-1558,-2021,-2442,-3035,-3482,-3939,-4441,-805,-403,-933,-1422,-1886,-2393,-3199,-3510,1004,752,635,5292,5088,4685,4512,4357,4137,NA,NA,NA,NA,NA,NA,NA,0
"2",1014144,NA,NA,7,-49,-15,16,-52,-21,8,27,-23,-16,-15,15,30,40,-24,-26,-15,0,-22,30,32,28,-11,-1,3,-21,-40,36,89,-24,10,45,102,113,21,24,39,79,1
"3",1313772,NA,41,40,33,30,30,30,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"4",1209077,24,22,22,20,18,7,7,27,27,20,18,17,28,26,24,24,24,23,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"5",1059267,NA,37,26,19,9,-1,-15,-20,-2,-11,24,101,83,65,42,24,99,80,61,43,25,2,90,71,55,41,25,104,81,65,43,28,10,87,69,55,30,9,93,73,1
"6",1258189,53,-75,-15,39,92,3,86,-20,87,-48,36,-56,10,-91,-4,59,-77,-7,59,-46,65,-75,30,114,-9,-82,50,-52,47,-81,-1,55,-66,28,-76,41,116,16,85,-29,1
"7",1383481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,61,1
"8",1027511,NA,NA,NA,NA,NA,NA,50,50,50,24,22,19,15,30,21,18,16,15,15,15,30,28,27,22,20,18,16,41,39,37,37,35,33,27,NA,NA,NA,NA,NA,NA,0
"9",1122600,309,150,-37,375,222,74,488,377,278,153,59,507,353,764,607,452,313,157,50,182,27,184,5,164,27,144,-13,146,42,211,126,282,169,59,232,85,218,22,63,217,1
"10",1027517,NA,NA,NA,NA,NA,NA,5,-4,-8,-14,27,22,15,12,7,1,-5,23,48,44,66,60,52,38,35,78,72,90,84,77,73,45,42,31,NA,NA,NA,NA,NA,NA,0
"11",1359672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,97,83,68,65,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"12",1359670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,26,18,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"13",1359671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,13,50,28,23,20,45,44,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"14",1107247,44,22,47,36,14,34,12,43,66,38,19,14,37,47,73,40,39,98,75,84,42,64,90,109,75,48,77,68,57,47,38,26,68,56,47,37,22,19,NA,NA,1
"15",1098024,NA,NA,NA,685,574,483,368,255,138,22,-84,-207,-340,-446,-586,300,177,40,-82,-193,-297,-135,766,662,557,438,324,207,516,416,304,208,1116,1019,927,844,754,668,564,673,1
"16",1105507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,-16,-49,-83,-114,48,2,-27,-67,-91,-98,-137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"17",1145452,14,2,-16,-5,1,-13,-14,-35,-6,-13,8,-12,-27,-28,-30,-30,11,51,85,67,48,37,76,57,57,57,57,57,64,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"18",1236542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,19,15,10,6,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"19",1218166,NA,NA,NA,NA,NA,NA,30,24,18,8,5,-1,-8,42,36,36,32,27,26,13,27,23,19,16,58,56,50,44,37,30,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"20",1101710,9,41,30,2,-11,25,4,5,27,-6,7,40,9,40,55,35,29,32,41,12,20,26,11,28,49,32,14,4,29,52,37,18,41,22,46,33,31,17,6,-5,1
"21",1070266,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,59,40,19,66,45,20,5,61,56,79,62,52,42,91,80,73,52,41,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"22",1023053,NA,NA,13,8,2,-5,-12,12,6,2,-3,-6,-11,9,3,-2,-7,-12,13,9,8,5,2,-3,-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"23",1063045,NA,4040,4609,4321,1621,1137,553,204,339,654,1186,807,-181,1972,2069,2290,2453,2428,3074,3772,4407,5308,6312,13767,11261,18767,21065,23257,25499,22551,24588,21371,23536,25364,40790,45872,42672,51528,53808,50567,1
"24",1203909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,139,131,119,111,104,42,-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"25",1082431,NA,NA,NA,46,5,48,9,81,62,43,28,20,8,-15,82,69,36,-7,74,37,17,0,85,72,69,59,33,8,58,35,7,82,68,48,36,24,9,-12,81,67,1
"26",1348132,NA,44,44,44,38,38,32,32,32,32,32,26,26,20,20,66,66,59,53,53,46,46,46,46,46,46,46,90,85,79,79,79,72,55,NA,NA,NA,NA,NA,NA,0
