model,slice,acc,mse,time
LR,1M,0.72,0.275,8.85
RF,1M,0.78,0.220,27.94
SVM,1M,0.73,0.267,22.08
MLP,1M,0.75,0.252,70.53
LR,2M,0.72,0.283,1.59
RF,2M,0.78,0.220,18.30
SVM,2M,0.73,0.268,16.72
MLP,2M,0.75,0.248,67.71
LR,3M,0.74,0.256,1.94
RF,3M,0.78,0.225,18.39
SVM,3M,0.77,0.235,13.39
MLP,3M,0.77,0.233,71.71
LR,4M,0.73,0.270,1.95
RF,4M,0.70,0.300,18.81
SVM,4M,0.70,0.304,16.92
MLP,4M,0.75,0.250,60.42
LR,5M,0.73,0.273,4.92
RF,5M,0.75,0.252,17.90
SVM,5M,0.75,0.253,17.04
MLP,5M,0.74,0.257,72.37
LR,6M,0.71,0.291,1.79
RF,6M,0.73,0.269,18.49
SVM,6M,0.72,0.283,15.03
MLP,6M,0.72,0.281,49.88
