Class,Year,Epiweek,TAMPS,COA,NL,Federal
IRA,2009,1,19153,17314,28829,494844
IRA,2009,2,19839,16707,30783,525043
IRA,2009,3,22965,19520,33461,565120
IRA,2009,4,2604,20155,37087,554526
IRA,2009,5,21118,19753,34804,555021
IRA,2009,6,20333,20304,39123,615657
IRA,2009,7,18569,21307,29739,606341
IRA,2009,8,18724,20052,30794,584173
IRA,2009,9,19494,20332,30523,618655
IRA,2009,10,17737,19598,25552,617824
IRA,2009,11,15965,14466,23545,523629
IRA,2009,12,16125,14180,25149,514759
IRA,2009,13,15613,13244,23752,512148
IRA,2009,14,11630,10754,17386,384372
IRA,2009,15,14491,11327,18177,458439
IRA,2009,16,15098,10799,16860,509414
IRA,2009,17,33270,20261,40342,1184372
IRA,2009,18,17397,13799,23965,816745
IRA,2009,19,19138,14521,24696,704190
IRA,2009,20,16260,12972,22178,585681
IRA,2009,21,14459,12877,20600,510395
IRA,2009,22,15806,13660,21706,526820
IRA,2009,23,16724,12688,22238,559272
IRA,2009,24,14310,10186,19253,494635
IRA,2009,25,13087,10535,17254,452513
IRA,2009,26,12794,8635,15341,421294
IRA,2009,27,12408,8482,15010,420432
IRA,2009,28,12250,8042,14143,390718
IRA,2009,29,11950,8176,14523,366735
IRA,2009,30,11323,7450,14951,330592
IRA,2009,31,10584,7790,13536,321061
IRA,2009,32,11063,7969,14464,325814
IRA,2009,33,11026,7987,15757,337023
IRA,2009,34,12331,9983,17883,351844
IRA,2009,35,18643,13617,26101,476797
IRA,2009,36,25726,23009,47309,690769
IRA,2009,37,24286,24738,51992,699930
IRA,2009,38,26585,26399,51855,868523
IRA,2009,39,19676,27916,47217,837648
IRA,2009,40,26632,28887,40143,871128
IRA,2009,41,23980,26127,35470,830540
IRA,2009,42,25019,24827,36892,809711
IRA,2009,43,21172,23863,37438,729216
IRA,2009,44,23302,24134,43799,753572
IRA,2009,45,24921,23363,39007,790755
IRA,2009,46,21746,20085,31989,747180
IRA,2009,47,23336,22416,33871,731222
IRA,2009,48,20708,18239,30163,698665
IRA,2009,49,19747,19034,31227,680817
IRA,2009,50,14507,16630,26868,573567
IRA,2009,51,11784,14434,20864,452463
IRA,2009,52,14634,39839,24788,480825
IRA,2010,1,18784,17994,29398,561481
IRA,2010,2,21173,19370,31706,620314
IRA,2010,3,21328,21307,31386,654314
IRA,2010,4,20639,21790,36053,649809
IRA,2010,5,19207,19993,32357,553197
IRA,2010,6,23788,23384,35337,652821
IRA,2010,7,24231,25141,39083,645598
IRA,2010,8,23854,23380,39367,661149
IRA,2010,9,23792,21437,39522,658121
IRA,2010,10,21223,17906,33437,630447
IRA,2010,11,17740,15191,29598,551735
IRA,2010,12,16800,16622,27008,546076
IRA,2010,13,13642,13229,20799,409190
IRA,2010,14,13326,13315,19987,478043
IRA,2010,15,12576,10099,18033,421318
IRA,2010,16,13033,11237,18447,451184
IRA,2010,17,11926,12861,21188,449726
IRA,2010,18,13233,13051,21811,451046
IRA,2010,19,11098,9992,17860,395827
IRA,2010,20,11984,10654,17941,418276
IRA,2010,21,11614,10059,17807,399198
IRA,2010,22,11449,10550,17192,417378
IRA,2010,23,11403,10217,17492,406706
IRA,2010,24,11004,10511,16888,388388
IRA,2010,25,11509,10026,16217,389829
IRA,2010,26,21166,8822,12385,360152
IRA,2010,27,10003,9372,12369,345039
IRA,2010,28,10421,9820,NA,310566
IRA,2010,29,10154,10254,14530,331510
IRA,2010,30,23147,10288,14840,314796
IRA,2010,31,11135,11397,16691,352956
IRA,2010,32,10838,10681,15764,358212
IRA,2010,33,11743,10667,16837,397982
IRA,2010,34,12445,10928,18068,415476
IRA,2010,35,16162,12765,20968,508768
IRA,2010,36,18824,14018,24419,589783
IRA,2010,37,14333,11639,20174,447775
IRA,2010,38,15210,13305,23970,554305
IRA,2010,39,18002,15759,27479,555544
IRA,2010,40,20036,17610,35165,644673
IRA,2010,41,20577,10380,33969,629464
IRA,2010,42,19426,14503,34011,642351
IRA,2010,43,17190,17105,29795,587531
IRA,2010,44,17416,17948,31966,578731
IRA,2010,45,20927,22121,35319,695530
IRA,2010,46,19193,22127,33851,662922
IRA,2010,47,20356,28460,37975,754297
IRA,2010,48,20363,28964,35308,770735
IRA,2010,49,22237,29826,41223,853985
IRA,2010,50,22439,25893,36420,813932
IRA,2010,51,18982,15740,27238,695790
IRA,2010,52,17044,16752,26622,644161
IRA,2011,1,10366,17561,30819,602559
IRA,2011,2,16219,14837,25425,646807
IRA,2011,3,17618,18170,24909,660252
IRA,2011,4,20741,20631,26870,676604
IRA,2011,5,18688,18589,28613,650403
IRA,2011,6,20166,19238,30467,609010
IRA,2011,7,21911,18438,30928,654813
IRA,2011,8,20124,17974,29479,634374
IRA,2011,9,17962,16932,29931,585103
IRA,2011,10,18189,16421,29421,585023
IRA,2011,11,16729,14556,26797,564633
IRA,2011,12,13835,12876,22155,508778
IRA,2011,13,13984,13992,23087,529041
IRA,2011,14,14282,13721,22063,505832
IRA,2011,15,13230,12377,18648,461599
IRA,2011,16,10437,9936,14555,356316
IRA,2011,17,11366,11416,18574,413574
IRA,2011,18,12056,10100,18179,387633
IRA,2011,19,10549,9020,16619,374649
IRA,2011,20,11996,10532,18165,417293
IRA,2011,21,11333,10589,17189,416319
IRA,2011,22,11282,10399,17959,410157
IRA,2011,23,11581,10037,18171,415883
IRA,2011,24,11083,9907,17532,389452
IRA,2011,25,10266,NA,17330,345761
IRA,2011,26,9214,9319,12824,337694
IRA,2011,27,9966,9553,14631,344928
IRA,2011,28,9599,9160,14373,348501
IRA,2011,29,9895,8616,13879,327471
IRA,2011,30,9460,7773,14789,324062
IRA,2011,31,9499,5327,12798,320936
IRA,2011,32,9446,7164,13691,326520
IRA,2011,33,9740,NA,13341,332971
IRA,2011,34,9901,7917,13418,327738
IRA,2011,35,12138,NA,17790,352710
IRA,2011,36,16685,15854,24013,501646
IRA,2011,37,NA,NA,NA,NA
IRA,2011,38,NA,NA,NA,NA
IRA,2011,39,12952,12007,21232,471456
IRA,2011,40,14040,13720,33587,530097
IRA,2011,41,11079,13484,20879,481169
IRA,2011,42,15666,NA,24435,532567
IRA,2011,43,9622,14494,26859,548893
IRA,2011,44,16482,15470,27396,524159
IRA,2011,45,8686,17523,29272,501648
IRA,2011,46,15845,17802,27668,535094
IRA,2011,47,14657,16495,25038,494030
IRA,2011,48,17051,18463,31057,555072
IRA,2011,49,17161,17990,26131,594154
IRA,2011,50,16186,16045,24570,493839
IRA,2011,51,15048,6451,23072,482051
IRA,2011,52,15477,8283,26640,505521
IRA,2012,1,20167,18776,33418,580838
IRA,2012,2,20485,16951,36857,679223
IRA,2012,3,21713,9688,35286,718578
IRA,2012,4,20933,20699,36941,744688
IRA,2012,5,22882,18317,34696,715798
IRA,2012,6,20491,17034,41676,643668
IRA,2012,7,22477,17762,30806,623946
IRA,2012,8,23855,18078,31399,645399
IRA,2012,9,21753,16754,30290,606096
