State,Year,Station,Men,Women,MenN,WomenN
AGU,2008,fall,0,0,0.0,0.0
AGU,2008,spring,0,0,0.0,0.0
AGU,2008,summer,0,0,0.0,0.0
AGU,2008,winter,0,0,0.0,0.0
AGU,2009,fall,0,0,0.0,0.0
AGU,2009,spring,0,0,0.0,0.0
AGU,2009,summer,0,0,0.0,0.0
AGU,2009,winter,0,0,0.0,0.0
AGU,2010,fall,0,2,0.0,3.2875379299700002e-06
AGU,2010,spring,0,0,0.0,0.0
AGU,2010,summer,0,0,0.0,0.0
AGU,2010,winter,0,0,0.0,0.0
AGU,2011,fall,0,0,0.0,0.0
AGU,2011,spring,0,0,0.0,0.0
AGU,2011,summer,3,1,5.20257076363e-06,1.6437689649799999e-06
AGU,2011,winter,0,0,0.0,0.0
AGU,2012,fall,0,0,0.0,0.0
AGU,2012,spring,0,0,0.0,0.0
AGU,2012,summer,0,0,0.0,0.0
AGU,2012,winter,0,0,0.0,0.0
AGU,2013,fall,0,0,0.0,0.0
AGU,2013,spring,0,0,0.0,0.0
AGU,2013,summer,3,1,5.20257076363e-06,1.6437689649799999e-06
AGU,2013,winter,0,0,0.0,0.0
AGU,2014,fall,0,0,0.0,0.0
AGU,2014,spring,0,0,0.0,0.0
AGU,2014,summer,0,0,0.0,0.0
AGU,2014,winter,0,0,0.0,0.0
AGU,2015,fall,4,9,6.9367610181800005e-06,1.47939206849e-05
AGU,2015,spring,0,0,0.0,0.0
AGU,2015,summer,0,0,0.0,0.0
AGU,2015,winter,0,0,0.0,0.0
AGU,2016,spring,0,0,0.0,0.0
AGU,2016,winter,0,0,0.0,0.0
BCN,2008,fall,0,0,0.0,0.0
BCN,2008,spring,0,0,0.0,0.0
BCN,2008,summer,0,0,0.0,0.0
BCN,2008,winter,0,0,0.0,0.0
BCN,2009,fall,0,0,0.0,0.0
BCN,2009,spring,0,0,0.0,0.0
BCN,2009,summer,0,0,0.0,0.0
BCN,2009,winter,0,0,0.0,0.0
BCN,2010,fall,0,0,0.0,0.0
BCN,2010,spring,0,0,0.0,0.0
BCN,2010,summer,0,0,0.0,0.0
BCN,2010,winter,0,0,0.0,0.0
BCN,2011,fall,0,0,0.0,0.0
BCN,2011,spring,0,0,0.0,0.0
BCN,2011,summer,0,0,0.0,0.0
BCN,2011,winter,0,0,0.0,0.0
BCN,2012,fall,1,0,6.28294619913e-07,0.0
BCN,2012,spring,1,0,6.28294619913e-07,0.0
BCN,2012,summer,1,0,6.28294619913e-07,0.0
BCN,2012,winter,0,0,0.0,0.0
BCN,2013,fall,0,0,0.0,0.0
BCN,2013,spring,0,0,0.0,0.0
BCN,2013,summer,0,0,0.0,0.0
BCN,2013,winter,0,0,0.0,0.0
BCN,2014,fall,2,1,1.25658923983e-06,6.39607025444e-07
BCN,2014,spring,1,1,6.28294619913e-07,6.39607025444e-07
BCN,2014,summer,0,0,0.0,0.0
BCN,2014,winter,2,5,1.25658923983e-06,3.19803512722e-06
BCN,2015,fall,17,25,1.06810085385e-05,1.59901756361e-05
BCN,2015,spring,0,1,0.0,6.39607025444e-07
BCN,2015,summer,3,1,1.8848838597400001e-06,6.39607025444e-07
BCN,2015,winter,1,2,6.28294619913e-07,1.2792140508899999e-06
BCN,2016,spring,1,0,6.28294619913e-07,0.0
BCN,2016,winter,1,0,6.28294619913e-07,0.0
BCS,2008,fall,18,16,5.53109242148e-05,5.13490354405e-05
BCS,2008,spring,1,2,3.07282912305e-06,6.41862943006e-06
BCS,2008,summer,1,2,3.07282912305e-06,6.41862943006e-06
BCS,2008,winter,6,7,1.84369747383e-05,2.24652030052e-05
BCS,2009,fall,48,47,0.00014749579790600002,0.000150837791606
BCS,2009,spring,2,3,6.1456582460900005e-06,9.62794414509e-06
BCS,2009,summer,1,1,3.07282912305e-06,3.20931471503e-06
BCS,2009,winter,28,44,8.60392154453e-05,0.000141209847461
BCS,2010,fall,78,69,0.00023968067159800001,0.000221442715337
BCS,2010,spring,11,12,3.38011203535e-05,3.85117765803e-05
BCS,2010,summer,20,24,6.14565824609e-05,7.70235531607e-05
BCS,2010,winter,29,31,8.91120445683e-05,9.94887561659e-05
BCS,2011,fall,197,264,0.0006053473372399999,0.0008472590847680001
BCS,2011,spring,1,2,3.07282912305e-06,6.41862943006e-06
BCS,2011,summer,4,5,1.22913164922e-05,1.60465735751e-05
BCS,2011,winter,109,118,0.00033493837441199995,0.000378699136373
BCS,2012,fall,39,49,0.00011984033579900001,0.00015725642103600002
BCS,2012,spring,1,2,3.07282912305e-06,6.41862943006e-06
BCS,2012,summer,1,1,3.07282912305e-06,3.20931471503e-06
BCS,2012,winter,41,54,0.000125985994045,0.000173302994612
BCS,2013,fall,197,264,0.0006053473372399999,0.0008472590847680001
BCS,2013,spring,1,2,3.07282912305e-06,6.41862943006e-06
BCS,2013,summer,4,5,1.22913164922e-05,1.60465735751e-05
BCS,2013,winter,109,191,0.00033493837441199995,0.000612979110571
BCS,2014,fall,207,267,0.00063607562847,0.000856887028913
BCS,2014,spring,5,7,1.53641456152e-05,2.24652030052e-05
BCS,2014,summer,66,101,0.000202806722121,0.000324140786218
BCS,2014,winter,21,29,6.4529411584e-05,9.30701267358e-05
BCS,2015,fall,16,50,4.91652659687e-05,0.00016046573575100002
BCS,2015,spring,2,2,6.1456582460900005e-06,6.41862943006e-06
BCS,2015,summer,3,3,9.218487369139999e-06,9.62794414509e-06
BCS,2015,winter,5,6,1.53641456152e-05,1.92558882902e-05
BCS,2016,spring,3,15,9.218487369139999e-06,4.81397207254e-05
BCS,2016,winter,4,4,1.22913164922e-05,1.28372588601e-05
CAM,2008,fall,2,3,4.90531515424e-06,7.2337962963e-06
CAM,2008,spring,5,1,1.22632878856e-05,2.4112654321e-06
CAM,2008,summer,3,3,7.35797273135e-06,7.2337962963e-06
CAM,2008,winter,1,1,2.45265757712e-06,2.4112654321e-06
CAM,2009,fall,73,102,0.00017904400312999998,0.000245949074074
CAM,2009,spring,0,0,0.0,0.0
CAM,2009,summer,18,5,4.41478363881e-05,1.20563271605e-05
CAM,2009,winter,67,54,0.000164328057667,0.000130208333333
CAM,2010,fall,42,52,0.000103011618239,0.000125385802469
CAM,2010,spring,12,9,2.94318909254e-05,2.17013888889e-05
CAM,2010,summer,39,39,9.56536455076e-05,9.40393518519e-05
CAM,2010,winter,19,25,4.66004939652e-05,6.02816358025e-05
CAM,2011,fall,26,39,6.37690970051e-05,9.40393518519e-05
CAM,2011,spring,11,8,2.69792333483e-05,1.92901234568e-05
CAM,2011,summer,20,13,4.90531515424e-05,3.13464506173e-05
CAM,2011,winter,7,6,1.71686030398e-05,1.44675925926e-05
CAM,2012,fall,43,52,0.00010546427581600001,0.000125385802469
CAM,2012,spring,21,23,5.15058091195e-05,5.54591049383e-05
CAM,2012,summer,34,34,8.339035762199999e-05,8.19830246914e-05
CAM,2012,winter,29,34,7.11270697364e-05,8.19830246914e-05
CAM,2013,fall,26,39,6.37690970051e-05,9.40393518519e-05
CAM,2013,spring,11,8,2.69792333483e-05,1.92901234568e-05
CAM,2013,summer,20,13,4.90531515424e-05,3.13464506173e-05
CAM,2013,winter,10,6,2.45265757712e-05,1.44675925926e-05
CAM,2014,fall,15,114,3.67898636568e-05,0.000274884259259
CAM,2014,spring,9,9,2.20739181941e-05,2.17013888889e-05
CAM,2014,summer,13,15,3.18845485025e-05,3.61689814815e-05
CAM,2014,winter,5,10,1.22632878856e-05,2.4112654321e-05
CAM,2015,fall,17,31,4.1695178810999996e-05,7.47492283951e-05
CAM,2015,spring,10,13,2.45265757712e-05,3.13464506173e-05
CAM,2015,summer,14,25,3.43372060796e-05,6.02816358025e-05
CAM,2015,winter,8,6,1.96212606169e-05,1.44675925926e-05
CAM,2016,spring,0,2,0.0,4.8225308642e-06
CAM,2016,winter,7,14,1.71686030398e-05,3.37577160494e-05
CHH,2008,fall,0,1,0.0,5.83457804332e-07
CHH,2008,spring,1,0,5.90826240957e-07,0.0
CHH,2008,summer,0,0,0.0,0.0
CHH,2008,winter,0,0,0.0,0.0
CHH,2009,fall,0,0,0.0,0.0
CHH,2009,spring,0,0,0.0,0.0
CHH,2009,summer,0,0,0.0,0.0
CHH,2009,winter,0,0,0.0,0.0
CHH,2010,fall,0,0,0.0,0.0
CHH,2010,spring,0,0,0.0,0.0
CHH,2010,summer,0,0,0.0,0.0
CHH,2010,winter,0,0,0.0,0.0
CHH,2011,fall,0,0,0.0,0.0
CHH,2011,spring,0,0,0.0,0.0
CHH,2011,summer,0,0,0.0,0.0
CHH,2011,winter,0,1,0.0,5.83457804332e-07
CHH,2012,fall,1,0,5.90826240957e-07,0.0
CHH,2012,spring,0,0,0.0,0.0
CHH,2012,summer,0,0,0.0,0.0
CHH,2012,winter,0,0,0.0,0.0
CHH,2013,fall,0,0,0.0,0.0
CHH,2013,spring,0,0,0.0,0.0
CHH,2013,summer,0,0,0.0,0.0
CHH,2013,winter,0,1,0.0,5.83457804332e-07
CHH,2014,fall,0,0,0.0,0.0
CHH,2014,spring,0,0,0.0,0.0
CHH,2014,summer,0,0,0.0,0.0
CHH,2014,winter,0,1,0.0,5.83457804332e-07
CHH,2015,fall,1,4,5.90826240957e-07,2.33383121733e-06
CHH,2015,spring,0,0,0.0,0.0
CHH,2015,summer,0,0,0.0,0.0
CHH,2015,winter,0,0,0.0,0.0
CHH,2016,spring,0,0,0.0,0.0
CHH,2016,winter,0,0,0.0,0.0
CHP,2008,fall,30,38,1.27507271102e-05,1.55497257724e-05
CHP,2008,spring,18,18,7.65043626613e-06,7.3656595764e-06
CHP,2008,summer,40,38,1.70009694803e-05,1.55497257724e-05
CHP,2008,winter,9,9,3.82521813306e-06,3.6828297882e-06
CHP,2009,fall,121,142,5.14279326779e-05,5.81068699916e-05
CHP,2009,spring,10,13,4.250242370069999e-06,5.3196430274e-06
CHP,2009,summer,60,72,2.55014542204e-05,2.94626383056e-05
CHP,2009,winter,13,19,5.52531508109e-06,7.7748628862e-06
CHP,2010,fall,17,14,7.22541202912e-06,5.7288463372e-06
CHP,2010,spring,23,29,9.775557451160001e-06,1.18668959842e-05
CHP,2010,summer,27,29,1.14756543992e-05,1.18668959842e-05
CHP,2010,winter,12,8,5.10029084409e-06,3.2736264784e-06
CHP,2011,fall,44,44,1.87010664283e-05,1.80049456312e-05
CHP,2011,spring,32,48,1.36007755842e-05,1.96417588704e-05
CHP,2011,summer,43,50,1.82760421913e-05,2.046016549e-05
CHP,2011,winter,9,10,3.82521813306e-06,4.092033098e-06
CHP,2012,fall,71,66,3.01767208275e-05,2.70074184468e-05
CHP,2012,spring,48,38,2.04011633763e-05,1.55497257724e-05
CHP,2012,summer,60,51,2.55014542204e-05,2.08693687998e-05
CHP,2012,winter,1017,8,0.000432249649036,3.2736264784e-06
CHP,2013,fall,44,44,1.87010664283e-05,1.80049456312e-05
CHP,2013,spring,32,48,1.36007755842e-05,1.96417588704e-05
