State,Year,Station,Men,Women,MenN,WomenN
AGU,2008,fall,0.0,0.0,0.0,0.0
AGU,2008,spring,0.0,0.0,0.0,0.0
AGU,2008,summer,0.0,0.0,0.0,0.0
AGU,2008,winter,0.0,0.0,0.0,0.0
AGU,2009,fall,0.0,0.0,0.0,0.0
AGU,2009,spring,0.0,0.0,0.0,0.0
AGU,2009,summer,0.0,0.0,0.0,0.0
AGU,2009,winter,0.0,0.0,0.0,0.0
AGU,2010,fall,0.0,0.125,0.0,2.0547112062312501e-07
AGU,2010,spring,0.0,0.0,0.0,0.0
AGU,2010,summer,0.0,0.0,0.0,0.0
AGU,2010,winter,0.0,0.0,0.0,0.0
AGU,2011,fall,-0.0625,0.0,-1.0838689090875e-07,0.0
AGU,2011,spring,0.0,0.0,0.0,0.0
AGU,2011,summer,0.1111111111111111,0.2222222222222222,1.9268780606000002e-07,3.6528199221777775e-07
AGU,2011,winter,0.0,0.0,0.0,0.0
AGU,2012,fall,0.0,0.0,0.0,0.0
AGU,2012,spring,0.0,0.0,0.0,0.0
AGU,2012,summer,0.0,0.0,0.0,0.0
AGU,2012,winter,0.0,0.0,0.0,0.0
AGU,2013,fall,-0.0625,0.0,-1.0838689090875e-07,0.0
AGU,2013,spring,0.0,0.0,0.0,0.0
AGU,2013,summer,0.1111111111111111,0.2222222222222222,1.9268780606000002e-07,3.6528199221777775e-07
AGU,2013,winter,0.0,0.0,0.0,0.0
AGU,2014,fall,0.0,0.0,0.0,0.0
AGU,2014,spring,0.0,0.0,0.0,0.0
AGU,2014,summer,0.0,0.0,0.0,0.0
AGU,2014,winter,0.0,0.0,0.0,0.0
AGU,2015,fall,0.3125,1.0625,5.41934454545e-07,1.746504525298125e-06
AGU,2015,spring,0.0,0.0,0.0,0.0
AGU,2015,summer,0.0,0.0,0.0,0.0
AGU,2015,winter,0.0,0.0,0.0,0.0
AGU,2016,spring,0.0,0.0,0.0,0.0
AGU,2016,winter,0.0,0.0,0.0,0.0
BCN,2008,fall,0.0,0.0,0.0,0.0
BCN,2008,spring,0.0,0.0,0.0,0.0
BCN,2008,summer,0.0,0.0,0.0,0.0
BCN,2008,winter,0.0,0.0,0.0,0.0
BCN,2009,fall,0.0,0.0,0.0,0.0
BCN,2009,spring,0.0,0.0,0.0,0.0
BCN,2009,summer,0.0,0.0,0.0,0.0
BCN,2009,winter,0.0,0.0,0.0,0.0
BCN,2010,fall,0.0,0.0,0.0,0.0
BCN,2010,spring,0.0,0.0,0.0,0.0
BCN,2010,summer,0.0,0.0,0.0,0.0
BCN,2010,winter,0.0,0.0,0.0,0.0
BCN,2011,fall,0.0,0.0,0.0,0.0
BCN,2011,spring,0.0,0.0,0.0,0.0
BCN,2011,summer,0.0,0.0,0.0,0.0
BCN,2011,winter,0.0,0.0,0.0,0.0
BCN,2012,fall,0.0625,0.0,3.92684137445625e-08,0.0
BCN,2012,spring,0.07142857142857142,0.0,4.487818713664286e-08,0.0
BCN,2012,summer,0.1111111111111111,0.0,6.981051332366666e-08,0.0
BCN,2012,winter,0.0,0.0,0.0,0.0
BCN,2013,fall,0.0,0.0,0.0,0.0
BCN,2013,spring,0.0,0.0,0.0,0.0
BCN,2013,summer,0.0,0.0,0.0,0.0
BCN,2013,winter,0.0,0.0,0.0,0.0
BCN,2014,fall,0.0625,0.0,3.9268413744812496e-08,0.0
BCN,2014,spring,0.07142857142857142,0.07142857142857142,4.487818713664286e-08,4.568621610314286e-08
BCN,2014,summer,0.0,0.0,0.0,0.0
BCN,2014,winter,0.2857142857142857,0.5714285714285714,1.7951274854714285e-07,3.6548972882499997e-07
BCN,2015,fall,5.5625,6.4375,3.4948888232656244e-06,4.1174702262935e-06
BCN,2015,spring,0.0,0.07142857142857142,0.0,4.568621610314286e-08
BCN,2015,summer,0.4444444444444444,0.3333333333333333,2.792420532947778e-07,2.1320234181466668e-07
BCN,2015,winter,0.15384615384615385,0.3076923076923077,9.666071075584616e-08,1.9680216167523076e-07
BCN,2016,spring,0.07142857142857142,0.0,4.487818713664286e-08,0.0
BCN,2016,winter,0.09090909090909091,0.0,5.711769271936364e-08,0.0
BCS,2008,fall,4.25,5.9375,1.3059523772939373e-05,1.905530612048375e-05
BCS,2008,spring,0.07142857142857142,0.42857142857142855,2.1948779450357142e-07,1.3754205921557142e-06
BCS,2008,summer,0.3333333333333333,0.3333333333333333,1.02427637435e-06,1.0697715716766667e-06
BCS,2008,winter,0.8571428571428571,1.0,2.6338535340392855e-06,3.2093147150285717e-06
BCS,2009,fall,7.375,10.0,2.266211478244625e-05,3.209314715027e-05
BCS,2009,spring,0.5,0.35714285714285715,1.5364145615235714e-06,1.1461838267964286e-06
