State,Year,Station,Men,Women,MenN,WomenN
AGU,2008,fall,0,0,0.0,0.0
AGU,2008,spring,0,0,0.0,0.0
AGU,2008,summer,0,0,0.0,0.0
AGU,2008,winter,0,0,0.0,0.0
AGU,2009,fall,0,0,0.0,0.0
AGU,2009,spring,0,0,0.0,0.0
AGU,2009,summer,0,0,0.0,0.0
AGU,2009,winter,0,0,0.0,0.0
AGU,2010,fall,0,0,0.0,0.0
AGU,2010,spring,0,0,0.0,0.0
AGU,2010,summer,0,0,0.0,0.0
AGU,2010,winter,0,0,0.0,0.0
AGU,2011,fall,-1,0,-1.73419025454e-06,0.0
AGU,2011,spring,0,0,0.0,0.0
AGU,2011,summer,-3,0,-5.20257076363e-06,0.0
AGU,2011,winter,0,0,0.0,0.0
AGU,2012,fall,0,0,0.0,0.0
AGU,2012,spring,0,0,0.0,0.0
AGU,2012,summer,0,0,0.0,0.0
AGU,2012,winter,0,0,0.0,0.0
AGU,2013,fall,-1,0,-1.73419025454e-06,0.0
AGU,2013,spring,0,0,0.0,0.0
AGU,2013,summer,-3,0,-5.20257076363e-06,0.0
AGU,2013,winter,0,0,0.0,0.0
AGU,2014,fall,0,0,0.0,0.0
AGU,2014,spring,0,0,0.0,0.0
AGU,2014,summer,0,0,0.0,0.0
AGU,2014,winter,0,0,0.0,0.0
AGU,2015,fall,0,0,0.0,0.0
AGU,2015,spring,0,0,0.0,0.0
AGU,2015,summer,0,0,0.0,0.0
AGU,2015,winter,0,0,0.0,0.0
AGU,2016,spring,0,0,0.0,0.0
AGU,2016,winter,0,0,0.0,0.0
BCN,2008,fall,0,0,0.0,0.0
BCN,2008,spring,0,0,0.0,0.0
BCN,2008,summer,0,0,0.0,0.0
BCN,2008,winter,0,0,0.0,0.0
BCN,2009,fall,0,0,0.0,0.0
BCN,2009,spring,0,0,0.0,0.0
BCN,2009,summer,0,0,0.0,0.0
BCN,2009,winter,0,0,0.0,0.0
BCN,2010,fall,0,0,0.0,0.0
BCN,2010,spring,0,0,0.0,0.0
BCN,2010,summer,0,0,0.0,0.0
BCN,2010,winter,0,0,0.0,0.0
BCN,2011,fall,0,0,0.0,0.0
BCN,2011,spring,0,0,0.0,0.0
BCN,2011,summer,0,0,0.0,0.0
BCN,2011,winter,0,0,0.0,0.0
BCN,2012,fall,0,0,0.0,0.0
BCN,2012,spring,0,0,0.0,0.0
BCN,2012,summer,0,0,0.0,0.0
BCN,2012,winter,0,0,0.0,0.0
BCN,2013,fall,0,0,0.0,0.0
BCN,2013,spring,0,0,0.0,0.0
BCN,2013,summer,0,0,0.0,0.0
BCN,2013,winter,0,0,0.0,0.0
BCN,2014,fall,-1,-1,-6.28294619913e-07,-6.39607025444e-07
BCN,2014,spring,0,0,0.0,0.0
BCN,2014,summer,0,0,0.0,0.0
BCN,2014,winter,0,0,0.0,0.0
BCN,2015,fall,-1,0,-6.28294619913e-07,0.0
BCN,2015,spring,0,0,0.0,0.0
BCN,2015,summer,0,0,0.0,0.0
BCN,2015,winter,0,0,0.0,0.0
BCN,2016,spring,0,0,0.0,0.0
BCN,2016,winter,0,0,0.0,0.0
BCS,2008,fall,0,0,0.0,0.0
BCS,2008,spring,-1,0,-3.07282912305e-06,0.0
BCS,2008,summer,0,0,0.0,0.0
BCS,2008,winter,0,0,0.0,0.0
BCS,2009,fall,0,0,0.0,0.0
BCS,2009,spring,0,0,0.0,0.0
BCS,2009,summer,0,0,0.0,0.0
BCS,2009,winter,0,0,0.0,0.0
BCS,2010,fall,7,13,2.15098038613e-05,4.17210912954e-05
BCS,2010,spring,0,2,0.0,6.41862943006e-06
BCS,2010,summer,0,3,0.0,9.62794414509e-06
BCS,2010,winter,0,0,0.0,0.0
BCS,2011,fall,5,7,1.53641456152e-05,2.24652030052e-05
BCS,2011,spring,0,0,0.0,0.0
BCS,2011,summer,0,0,0.0,0.0
BCS,2011,winter,-1,0,-3.07282912305e-06,0.0
BCS,2012,fall,0,0,0.0,0.0
BCS,2012,spring,0,0,0.0,0.0
BCS,2012,summer,0,0,0.0,0.0
BCS,2012,winter,0,0,0.0,0.0
BCS,2013,fall,5,7,1.53641456152e-05,2.24652030052e-05
BCS,2013,spring,0,0,0.0,0.0
BCS,2013,summer,0,0,0.0,0.0
BCS,2013,winter,0,0,0.0,0.0
BCS,2014,fall,46,53,0.00014135013966,0.00017009367989700001
BCS,2014,spring,0,0,0.0,0.0
BCS,2014,summer,-7,-5,-2.15098038613e-05,-1.60465735751e-05
BCS,2014,winter,0,-7,0.0,-2.24652030052e-05
BCS,2015,fall,2,3,6.1456582460900005e-06,9.62794414509e-06
BCS,2015,spring,0,0,0.0,0.0
BCS,2015,summer,0,0,0.0,0.0
BCS,2015,winter,0,0,0.0,0.0
BCS,2016,spring,0,-12,0.0,-3.85117765803e-05
BCS,2016,winter,0,0,0.0,0.0
CAM,2008,fall,0,0,0.0,0.0
CAM,2008,spring,-4,-1,-9.81063030847e-06,-2.4112654321e-06
CAM,2008,summer,0,0,0.0,0.0
CAM,2008,winter,0,0,0.0,0.0
CAM,2009,fall,-30,0,-7.35797273135e-05,0.0
CAM,2009,spring,0,0,0.0,0.0
CAM,2009,summer,0,0,0.0,0.0
CAM,2009,winter,0,0,0.0,0.0
CAM,2010,fall,0,0,0.0,0.0
CAM,2010,spring,-1,0,-2.45265757712e-06,0.0
CAM,2010,summer,0,0,0.0,0.0
CAM,2010,winter,0,0,0.0,0.0
CAM,2011,fall,0,0,0.0,0.0
CAM,2011,spring,0,0,0.0,0.0
CAM,2011,summer,0,0,0.0,0.0
CAM,2011,winter,0,0,0.0,0.0
CAM,2012,fall,0,0,0.0,0.0
CAM,2012,spring,0,0,0.0,0.0
CAM,2012,summer,0,0,0.0,0.0
CAM,2012,winter,0,0,0.0,0.0
CAM,2013,fall,0,0,0.0,0.0
CAM,2013,spring,0,0,0.0,0.0
CAM,2013,summer,0,0,0.0,0.0
CAM,2013,winter,0,0,0.0,0.0
CAM,2014,fall,0,0,0.0,0.0
CAM,2014,spring,0,0,0.0,0.0
CAM,2014,summer,-5,-94,-1.22632878856e-05,-0.00022665895061700002
CAM,2014,winter,0,-1,0.0,-2.4112654321e-06
CAM,2015,fall,0,0,0.0,0.0
CAM,2015,spring,0,0,0.0,0.0
CAM,2015,summer,0,0,0.0,0.0
CAM,2015,winter,0,-2,0.0,-4.8225308642e-06
CAM,2016,spring,0,0,0.0,0.0
CAM,2016,winter,0,0,0.0,0.0
CHH,2008,fall,0,-1,0.0,-5.83457804332e-07
CHH,2008,spring,-1,0,-5.90826240957e-07,0.0
CHH,2008,summer,0,0,0.0,0.0
CHH,2008,winter,0,0,0.0,0.0
CHH,2009,fall,0,0,0.0,0.0
CHH,2009,spring,0,0,0.0,0.0
CHH,2009,summer,0,0,0.0,0.0
CHH,2009,winter,0,0,0.0,0.0
CHH,2010,fall,0,0,0.0,0.0
CHH,2010,spring,0,0,0.0,0.0
CHH,2010,summer,0,0,0.0,0.0
CHH,2010,winter,0,0,0.0,0.0
CHH,2011,fall,0,0,0.0,0.0
CHH,2011,spring,0,-1,0.0,-5.83457804332e-07
CHH,2011,summer,0,0,0.0,0.0
CHH,2011,winter,0,0,0.0,0.0
CHH,2012,fall,0,0,0.0,0.0
CHH,2012,spring,0,0,0.0,0.0
CHH,2012,summer,0,0,0.0,0.0
CHH,2012,winter,0,0,0.0,0.0
CHH,2013,fall,0,0,0.0,0.0
CHH,2013,spring,0,-1,0.0,-5.83457804332e-07
CHH,2013,summer,0,0,0.0,0.0
CHH,2013,winter,0,0,0.0,0.0
CHH,2014,fall,0,0,0.0,0.0
CHH,2014,spring,0,0,0.0,0.0
CHH,2014,summer,0,0,0.0,0.0
CHH,2014,winter,0,-1,0.0,-5.83457804332e-07
CHH,2015,fall,0,0,0.0,0.0
CHH,2015,spring,0,0,0.0,0.0
CHH,2015,summer,0,0,0.0,0.0
CHH,2015,winter,0,0,0.0,0.0
CHH,2016,spring,0,0,0.0,0.0
CHH,2016,winter,0,0,0.0,0.0
CHP,2008,fall,4,1,1.70009694803e-06,4.092033098e-07
CHP,2008,spring,0,1,0.0,4.092033098e-07
CHP,2008,summer,13,9,5.52531508109e-06,3.6828297882e-06
CHP,2008,winter,0,0,0.0,0.0
CHP,2009,fall,0,0,0.0,0.0
CHP,2009,spring,1,1,4.2502423700700003e-07,4.092033098e-07
CHP,2009,summer,1,0,4.2502423700700003e-07,0.0
CHP,2009,winter,0,0,0.0,0.0
CHP,2010,fall,0,0,0.0,0.0
CHP,2010,spring,-1,0,-4.2502423700700003e-07,0.0
CHP,2010,summer,2,3,8.500484740140001e-07,1.2276099294e-06
CHP,2010,winter,0,0,0.0,0.0
CHP,2011,fall,9,8,3.82521813306e-06,3.2736264784e-06
CHP,2011,spring,2,2,8.500484740140001e-07,8.184066196e-07
CHP,2011,summer,10,12,4.250242370069999e-06,4.9104397176e-06
CHP,2011,winter,0,0,0.0,0.0
CHP,2012,fall,-1008,0,-0.000428424430903,0.0
CHP,2012,spring,0,1,0.0,4.092033098e-07
CHP,2012,summer,12,23,5.10029084409e-06,9.4116761254e-06
CHP,2012,winter,0,-12,0.0,-4.9104397176e-06
CHP,2013,fall,9,8,3.82521813306e-06,3.2736264784e-06
CHP,2013,spring,2,2,8.500484740140001e-07,8.184066196e-07
CHP,2013,summer,10,12,4.250242370069999e-06,4.9104397176e-06
CHP,2013,winter,0,0,0.0,0.0
CHP,2014,fall,6,7,2.55014542204e-06,2.8644231686e-06
CHP,2014,spring,1,2,4.2502423700700003e-07,8.184066196e-07
CHP,2014,summer,-8,-11,-3.40019389606e-06,-4.5012364078e-06
CHP,2014,winter,0,-9,0.0,-3.6828297882e-06
CHP,2015,fall,1,-551,4.2502423700700003e-07,-0.0002254710237
CHP,2015,spring,2,6,8.500484740140001e-07,2.4552198588e-06
CHP,2015,summer,4,6,1.70009694803e-06,2.4552198588e-06
CHP,2015,winter,0,0,0.0,0.0
CHP,2016,spring,0,0,0.0,0.0
CHP,2016,winter,0,0,0.0,0.0
COA,2008,fall,0,0,0.0,0.0
COA,2008,spring,0,0,0.0,0.0
COA,2008,summer,0,0,0.0,0.0
COA,2008,winter,0,0,0.0,0.0
COA,2009,fall,0,0,0.0,0.0
COA,2009,spring,0,0,0.0,0.0
COA,2009,summer,0,0,0.0,0.0
COA,2009,winter,0,-85,0.0,-6.14075772616e-05
COA,2010,fall,0,0,0.0,0.0
COA,2010,spring,0,0,0.0,0.0
COA,2010,summer,0,0,0.0,0.0
COA,2010,winter,0,0,0.0,0.0
COA,2011,fall,0,0,0.0,0.0
COA,2011,spring,0,0,0.0,0.0
COA,2011,summer,0,0,0.0,0.0
COA,2011,winter,0,0,0.0,0.0
COA,2012,fall,0,0,0.0,0.0
COA,2012,spring,0,0,0.0,0.0
COA,2012,summer,0,0,0.0,0.0
COA,2012,winter,0,0,0.0,0.0
