State,Year,Station,Men,Women,MenN,WomenN
AGU,2008,fall,0.0,0.0,0.0,0.0
AGU,2008,spring,0.0,0.0,0.0,0.0
AGU,2008,summer,0.0,0.0,0.0,0.0
AGU,2008,winter,0.0,0.0,0.0,0.0
AGU,2009,fall,0.0,0.0,0.0,0.0
AGU,2009,spring,0.0,0.0,0.0,0.0
AGU,2009,summer,0.0,0.0,0.0,0.0
AGU,2009,winter,0.0,0.0,0.0,0.0
AGU,2010,fall,0.0,0.5,0.0,8.218844824925002e-07
AGU,2010,spring,0.0,0.0,0.0,0.0
AGU,2010,summer,0.0,0.0,0.0,0.0
AGU,2010,winter,0.0,0.0,0.0,0.0
AGU,2011,fall,0.25,0.0,4.33547563635e-07,0.0
AGU,2011,spring,0.0,0.0,0.0,0.0
AGU,2011,summer,1.5365907428821481,0.4409585518440985,2.664740691527481e-06,7.248339823638533e-07
AGU,2011,winter,0.0,0.0,0.0,0.0
AGU,2012,fall,0.0,0.0,0.0,0.0
AGU,2012,spring,0.0,0.0,0.0,0.0
AGU,2012,summer,0.0,0.0,0.0,0.0
AGU,2012,winter,0.0,0.0,0.0,0.0
AGU,2013,fall,0.25,0.0,4.33547563635e-07,0.0
AGU,2013,spring,0.0,0.0,0.0,0.0
AGU,2013,summer,1.5365907428821481,0.4409585518440985,2.664740691527481e-06,7.248339823638533e-07
AGU,2013,winter,0.0,0.0,0.0,0.0
AGU,2014,fall,0.0,0.0,0.0,0.0
AGU,2014,spring,0.0,0.0,0.0,0.0
AGU,2014,summer,0.0,0.0,0.0,0.0
AGU,2014,winter,0.0,0.0,0.0,0.0
AGU,2015,fall,1.0144785195688801,2.3796008068581584,1.7592987620813651e-06,3.911513955374507e-06
AGU,2015,spring,0.0,0.0,0.0,0.0
AGU,2015,summer,0.0,0.0,0.0,0.0
AGU,2015,winter,0.0,0.0,0.0,0.0
AGU,2016,spring,0.0,0.0,0.0,0.0
AGU,2016,winter,0.0,0.0,0.0,0.0
BCN,2008,fall,0.0,0.0,0.0,0.0
BCN,2008,spring,0.0,0.0,0.0,0.0
BCN,2008,summer,0.0,0.0,0.0,0.0
BCN,2008,winter,0.0,0.0,0.0,0.0
BCN,2009,fall,0.0,0.0,0.0,0.0
BCN,2009,spring,0.0,0.0,0.0,0.0
BCN,2009,summer,0.0,0.0,0.0,0.0
BCN,2009,winter,0.0,0.0,0.0,0.0
BCN,2010,fall,0.0,0.0,0.0,0.0
BCN,2010,spring,0.0,0.0,0.0,0.0
BCN,2010,summer,0.0,0.0,0.0,0.0
BCN,2010,winter,0.0,0.0,0.0,0.0
BCN,2011,fall,0.0,0.0,0.0,0.0
BCN,2011,spring,0.0,0.0,0.0,0.0
BCN,2011,summer,0.0,0.0,0.0,0.0
BCN,2011,winter,0.0,0.0,0.0,0.0
BCN,2012,fall,0.25,0.0,1.5707365497824998e-07,0.0
BCN,2012,spring,0.2672612419124244,0.0,1.6791880040484302e-07,0.0
BCN,2012,summer,0.33333333333333337,0.0,2.09431539971e-07,0.0
BCN,2012,winter,0.0,0.0,0.0,0.0
BCN,2013,fall,0.0,0.0,0.0,0.0
BCN,2013,spring,0.0,0.0,0.0,0.0
BCN,2013,summer,0.0,0.0,0.0,0.0
BCN,2013,winter,0.0,0.0,0.0,0.0
BCN,2014,fall,0.5737304826019501,0.3651483716701107,3.604717754997949e-07,2.335514638496397e-07
BCN,2014,spring,0.2672612419124244,0.2672612419124244,1.6791880040484305e-07,1.7094216795607507e-07
BCN,2014,summer,0.0,0.0,0.0,0.0
BCN,2014,winter,0.7262730392025629,1.5045717874984443,4.563134431202862e-07,9.623346855685938e-07
BCN,2015,fall,6.131544123084602,7.941190087134296,3.852416184291033e-06,5.079240970114842e-06
BCN,2015,spring,0.0,0.2672612419124244,0.0,1.7094216795607507e-07
BCN,2015,summer,1.0137937550497031,0.5,6.369611619994415e-07,3.19803512722e-07
BCN,2015,winter,0.37553380809940534,0.6304251719561151,2.3594587122429742e-07,4.032243690003204e-07
BCN,2016,spring,0.26726124191242434,0.0,1.6791880040484302e-07,0.0
BCN,2016,winter,0.30151134457776363,0.0,1.8943795564094356e-07,0.0
BCS,2008,fall,5.092478113191389,6.233979467402824,1.5648315054682805e-05,2.0006802037924598e-05
BCS,2008,spring,0.4746311465493234,0.646206172658864,1.4584604098233734e-06,2.073878978857309e-06
BCS,2008,summer,0.5,0.7071067811865476,1.5364145615250001e-06,2.2693281979594856e-06
BCS,2008,winter,1.9944979263017493,2.54195563720897,6.128751313794859e-06,8.157935631444578e-06
BCS,2009,fall,13.306013678032953,15.474710551951098,4.088710634145977e-05,4.9663216285140075e-05
BCS,2009,spring,0.7595545253127499,0.8418973861410954,2.3339812659223983e-06,2.701913669887912e-06
