c1,c2,c3,c4,c5,mc,class
10,10,10,10,10,0,2
10,10,10,10,10,25,0
10,10,10,10,10,70,0
10,10,10,10,10,45,0
10,10,10,10,10,50,0
10,10,10,6,0,0,2
10,10,10,10,10,55,0
10,10,10,10,10,0,1
10,10,10,10,10,15,1
10,10,10,10,10,65,0
10,10,10,10,10,25,0
10,10,10,10,10,40,2
10,10,10,10,10,85,0
10,10,10,10,10,60,0
10,10,10,10,10,75,0
10,10,10,10,10,75,0
10,10,10,10,10,25,2
10,8,0,0,0,45,2
10,10,10,10,,100,0
10,10,10,10,10,20,1
2,0,0,0,0,0,2
10,10,10,10,10,100,0
10,10,10,10,10,100,0
10,10,10,10,10,70,0
10,10,10,10,10,0,1
10,10,10,10,10,30,0
10,10,10,10,10,30,0
10,10,10,10,10,70,0
10,10,10,10,10,10,1
10,10,10,10,10,5,2
10,10,10,10,10,75,0
10,10,10,10,10,25,0
10,10,10,10,10,90,0
10,10,10,10,10,40,1
10,10,10,10,10,60,0
10,10,10,10,10,0,2
10,10,10,10,10,95,0
10,10,10,10,10,15,2
10,10,10,10,10,0,2
10,10,10,10,10,35,0
10,10,10,10,10,10,1
10,10,10,10,10,75,0
10,10,10,10,10,0,2
10,10,10,10,10,50,0
10,10,10,10,10,100,0
10,10,10,10,10,60,0
10,10,10,10,10,70,0
10,10,10,10,10,0,2
10,10,10,10,10,65,0
10,10,10,10,10,20,1
4,0,0,0,0,0,2
10,10,0,0,0,0,2
10,10,10,10,10,45,0
10,10,10,10,10,5,2
10,10,10,10,10,30,0
2,0,0,0,0,0,2
10,10,0,0,0,10,2
10,10,10,10,10,60,0
10,10,10,10,10,50,0
10,10,10,10,10,70,0
10,10,10,10,10,100,0
10,10,10,10,10,0,2
10,6,0,0,0,0,2
10,10,10,10,10,20,0
10,10,10,10,10,55,0
10,10,10,10,10,20,0
10,10,10,10,10,100,0
10,10,10,10,10,60,0
10,10,10,10,10,55,0
10,4,0,0,0,0,2
10,10,10,10,10,100,0
10,10,10,10,10,10,2
10,10,10,10,10,100,0
10,10,10,10,10,100,0
10,10,10,10,10,70,0
10,0,0,0,0,5,2
10,10,10,10,10,25,0
10,10,10,10,10,80,0
10,0,0,0,0,0,2
10,10,10,10,10,0,2
10,10,10,10,10,0,1
10,6,10,0,0,25,0
10,0,0,0,0,0,0
10,10,10,10,10,65,0
10,10,10,10,10,15,2
10,10,10,10,10,80,0
10,10,10,10,10,45,0
10,8,10,10,10,60,1
10,10,10,10,10,0,1
10,10,0,0,0,20,2
10,10,10,10,10,85,0
10,10,10,10,10,20,0
10,10,10,10,10,95,0
10,10,10,10,10,50,0
10,10,10,8,0,45,2
10,10,10,10,10,15,2
4,0,0,0,0,0,2
10,10,10,10,10,55,0
10,10,10,10,10,25,0
10,10,10,10,10,55,0
10,10,10,10,10,0,2
10,10,10,10,10,20,2
10,10,10,10,10,95,0
10,6,0,0,0,0,2
10,10,10,4,0,10,2
10,10,10,10,10,0,1
10,0,0,0,0,0,2
10,10,10,10,10,30,0
10,10,10,10,10,20,0
10,10,10,10,10,10,1
10,10,0,0,0,0,2
10,10,10,10,10,60,0
10,10,0,0,0,5,2
10,10,10,10,10,55,0
10,10,10,10,10,20,0
10,10,0,0,0,40,2
10,10,0,2,2,0,2
10,10,10,10,10,35,2
10,10,10,10,10,10,2
10,10,0,0,0,0,2
2,0,0,0,0,0,2
10,10,10,10,10,0,2
10,10,10,10,10,20,1
10,4,0,0,0,0,2
10,10,0,0,0,0,2
10,10,10,0,10,0,2
10,10,10,10,10,25,0
10,10,10,10,0,0,2
10,10,10,10,10,15,1
10,4,8,4,4,20,2
10,10,10,10,10,15,1
8,0,0,0,0,0,2
4,0,0,0,0,0,2
10,10,10,10,10,30,0
10,10,8,10,10,5,2
10,10,10,10,10,10,1
10,10,10,10,10,30,0
10,10,0,0,0,5,2
10,4,0,0,0,0,2
10,10,10,10,10,25,1
10,10,10,10,10,35,0
10,10,10,10,10,5,1
10,6,0,0,0,0,2
10,10,10,10,10,10,1
10,10,10,10,10,5,1
10,10,10,10,10,5,1
10,10,10,10,10,50,0
10,4,0,0,0,0,2
10,10,10,10,10,0,1
2,0,0,0,0,0,2
10,10,10,10,10,25,0
10,6,10,6,10,0,2
10,6,0,0,0,0,2
10,10,10,10,10,15,1
10,10,10,10,10,10,1
10,10,10,10,10,60,0
10,10,10,10,10,40,0
6,10,0,0,0,15,2
10,10,10,10,10,20,2
10,10,10,10,10,20,1
10,10,10,10,10,40,0
10,10,10,10,10,0,2
10,10,10,10,10,20,1
10,4,0,0,6,0,2
10,10,10,10,10,0,2
10,10,10,10,10,0,2
10,10,10,10,10,20,2
10,10,10,10,10,20,2
10,10,10,10,10,15,0
10,10,10,10,10,45,0
10,10,10,10,10,10,1
10,10,10,10,10,5,2
10,10,10,10,10,30,0
10,10,10,10,10,60,0
10,10,10,10,10,60,0
10,10,10,8,10,50,0
10,10,10,10,10,70,0
10,10,10,10,10,55,0
10,10,10,10,10,20,2
10,10,10,8,10,45,0
8,0,0,0,0,40,2
10,10,10,10,10,60,0
10,10,10,10,10,5,2
10,2,0,0,0,0,2
8,2,0,0,0,0,2
10,10,10,10,10,75,0
10,10,10,10,10,25,1
8,6,0,0,0,0,2
10,10,10,10,10,50,0
10,10,10,10,10,30,0
10,10,10,10,10,0,2
10,10,10,10,10,25,1
10,10,10,10,10,35,0
10,4,2,0,0,20,2
10,10,10,10,10,15,1
10,10,10,10,10,55,0
10,10,10,10,10,75,0
10,10,10,10,10,70,0
10,10,0,0,0,0,2
10,10,10,10,10,60,0
10,10,10,10,10,55,0
10,10,10,10,10,25,1
10,10,10,10,10,35,0
10,10,10,10,10,50,0
10,10,10,10,10,35,0
10,10,10,10,10,0,1
10,10,10,10,10,55,0
10,10,10,10,10,45,0
8,2,0,0,0,5,2
10,10,10,10,10,55,0
10,10,10,10,10,0,2
10,10,10,10,10,0,2
10,10,10,10,10,0,2
10,10,10,10,10,62,0
10,10,10,10,10,80,0
10,6,0,0,0,0,2
10,10,10,10,10,0,2
10,10,10,0,10,32,1
10,10,10,10,10,60,0
10,2,0,0,0,0,2
10,10,0,0,0,0,2
4,0,0,0,0,0,2
10,10,10,6,10,56,1
10,10,10,10,10,40,1
10,10,10,10,10,48,0
10,10,10,10,8,52,1
10,10,10,10,10,60,1
10,10,10,10,10,36,0
10,10,10,10,10,28,0
10,10,10,10,10,64,0
10,10,10,10,10,48,0
10,10,10,6,10,60,1
10,10,10,10,10,0,2
8,6,0,0,0,0,2
10,10,10,10,10,12,2
10,6,4,0,0,0,2
10,10,10,10,10,52,1
10,10,10,10,10,4,0
10,10,10,10,10,,2
10,10,10,10,10,,0
10,10,10,10,10,0,1
10,10,10,10,10,60,0
10,10,10,10,10,72,0
10,10,10,10,10,64,0
